DATE, readings.size(), flightpath.size()
01-01-2020, 33, 110
02-01-2020, 33, 111
03-01-2020, 33, 99
04-01-2020, 33, 117
05-01-2020, 33, 113
06-01-2020, 33, 98
07-01-2020, 33, 150
08-01-2020, 33, 98
09-01-2020, 33, 108
10-01-2020, 33, 103
11-01-2020, 33, 114
12-01-2020, 33, 90
13-01-2020, 33, 114
14-01-2020, 33, 116
15-01-2020, 33, 104
16-01-2020, 33, 102
17-01-2020, 33, 94
18-01-2020, 33, 97
19-01-2020, 33, 99
20-01-2020, 33, 104
21-01-2020, 33, 87
22-01-2020, 33, 137
23-01-2020, 33, 122
24-01-2020, 33, 108
25-01-2020, 33, 93
26-01-2020, 33, 101
27-01-2020, 33, 107
28-01-2020, 33, 78
01-02-2020, 33, 114
02-02-2020, 33, 112
03-02-2020, 33, 112
04-02-2020, 33, 103
05-02-2020, 33, 104
06-02-2020, 33, 90
07-02-2020, 33, 105
08-02-2020, 33, 113
09-02-2020, 33, 96
10-02-2020, 33, 93
11-02-2020, 33, 113
12-02-2020, 33, 104
13-02-2020, 33, 103
14-02-2020, 33, 95
15-02-2020, 20, 150
16-02-2020, 33, 101
17-02-2020, 33, 115
18-02-2020, 33, 97
19-02-2020, 33, 99
20-02-2020, 33, 109
21-02-2020, 33, 95
22-02-2020, 33, 86
23-02-2020, 33, 113
24-02-2020, 33, 96
25-02-2020, 33, 100
26-02-2020, 33, 95
27-02-2020, 33, 116
28-02-2020, 33, 136
01-03-2020, 33, 120
02-03-2020, 33, 110
03-03-2020, 33, 93
04-03-2020, 33, 87
05-03-2020, 33, 104
06-03-2020, 33, 114
07-03-2020, 33, 150
08-03-2020, 33, 111
09-03-2020, 33, 98
10-03-2020, 33, 112
11-03-2020, 33, 121
12-03-2020, 33, 96
13-03-2020, 33, 123
14-03-2020, 33, 91
15-03-2020, 33, 99
16-03-2020, 33, 93
17-03-2020, 25, 150
18-03-2020, 33, 101
19-03-2020, 33, 124
20-03-2020, 33, 115
21-03-2020, 33, 104
22-03-2020, 33, 83
23-03-2020, 33, 104
24-03-2020, 33, 88
25-03-2020, 33, 117
26-03-2020, 33, 112
27-03-2020, 33, 97
28-03-2020, 33, 89
01-04-2020, 33, 57
02-04-2020, 33, 110
03-04-2020, 33, 111
04-04-2020, 33, 99
05-04-2020, 33, 117
06-04-2020, 33, 113
07-04-2020, 33, 98
08-04-2020, 33, 150
09-04-2020, 33, 98
10-04-2020, 33, 108
11-04-2020, 33, 103
12-04-2020, 33, 114
13-04-2020, 33, 90
14-04-2020, 33, 114
15-04-2020, 33, 116
16-04-2020, 33, 104
17-04-2020, 33, 102
18-04-2020, 33, 94
19-04-2020, 33, 97
20-04-2020, 33, 99
21-04-2020, 33, 104
22-04-2020, 33, 87
23-04-2020, 33, 137
24-04-2020, 33, 122
25-04-2020, 33, 108
26-04-2020, 33, 93
27-04-2020, 33, 101
28-04-2020, 33, 107
01-05-2020, 33, 116
02-05-2020, 33, 93
03-05-2020, 33, 114
04-05-2020, 33, 112
05-05-2020, 33, 112
06-05-2020, 33, 103
07-05-2020, 33, 104
08-05-2020, 33, 90
09-05-2020, 33, 105
10-05-2020, 33, 113
11-05-2020, 33, 96
12-05-2020, 33, 93
13-05-2020, 33, 113
14-05-2020, 33, 104
15-05-2020, 33, 103
16-05-2020, 33, 95
17-05-2020, 20, 150
18-05-2020, 33, 101
19-05-2020, 33, 115
20-05-2020, 33, 97
21-05-2020, 33, 99
22-05-2020, 33, 109
23-05-2020, 33, 95
24-05-2020, 33, 86
25-05-2020, 33, 113
26-05-2020, 33, 96
27-05-2020, 33, 100
28-05-2020, 33, 95
01-06-2020, 33, 120
02-06-2020, 33, 110
03-06-2020, 33, 93
04-06-2020, 33, 87
05-06-2020, 33, 104
06-06-2020, 33, 114
07-06-2020, 33, 150
08-06-2020, 33, 111
09-06-2020, 33, 98
10-06-2020, 33, 112
11-06-2020, 33, 121
12-06-2020, 33, 96
13-06-2020, 33, 123
14-06-2020, 33, 91
15-06-2020, 33, 99
16-06-2020, 33, 93
17-06-2020, 25, 150
18-06-2020, 33, 101
